review_id,user_name,business_id,stars,date,sentence
1,Alex K.,1118,3,10/30/18,"this dosa location has a very romantic, upscale feel to it that is perfect for date night"
1,Alex K.,1118,3,10/30/18,"unfortunately, i do not find their food to reflect the upscale vibe or price tag associated with it"
1,Alex K.,1118,3,10/30/18,we appreciated their listing of allergens on the menu but still felt a bit disappointed that only one curry larger entree could be made vegan
1,Alex K.,1118,3,10/30/18,we ordered vegan chutney sampler
1,Alex K.,1118,3,10/30/18,"the variety of five chutneys was good, but i did not find them alone to be worth the price"
1,Alex K.,1118,3,10/30/18,"vegan channa bhatura curry the highlight of the meal, this curry was nuanced, fresh and delicious"
1,Alex K.,1118,3,10/30/18,"it was small for , though"
1,Alex K.,1118,3,10/30/18,"vegan mixed chile uttapam super spicy, and my girlfriend and i can almost always handle the kick"
1,Alex K.,1118,3,10/30/18,the menu did say spicy! but i think this warranted a bit more warning than that
1,Alex K.,1118,3,10/30/18,"regardless, this was tasty, but i did not think it was worth"
1,Alex K.,1118,3,10/30/18,"and i know, i'm getting repetitive"
1,Alex K.,1118,3,10/30/18,"the soup that accompanied the uttapam was, however, super delicious"
1,Alex K.,1118,3,10/30/18,"overall, my girlfriend and i enjoyed our meal but the warm ambiance and friendliness of our server could not make up for the seemingly unwarranted cost of our dinner"
1,Alex K.,1118,3,10/30/18,"i do not think i will find myself returning, since we left a bit unsatisfied and ultimately, still hungry"
1,Alex K.,1118,3,10/30/18,
2,Alison W.,1118,4,10/11/18,i would never had south indian cuisine or dosas before
2,Alison W.,1118,4,10/11/18,but some indian friends recommended this place and i'm always up for trying something new
2,Alison W.,1118,4,10/11/18,we had kinda a large group so we were able to make a reservation ahead of time
2,Alison W.,1118,4,10/11/18,"though we sat around for about minutes after we arrived, while they were setting up our table"
2,Alison W.,1118,4,10/11/18,"we got a bunch of appetizers samosas, idli fries, and the chutney sampler"
2,Alison W.,1118,4,10/11/18,the idli fries are bomb
2,Alison W.,1118,4,10/11/18,they were like right out of the fryer hot
2,Alison W.,1118,4,10/11/18,not sure exactly what they were but they tasted like fries
2,Alison W.,1118,4,10/11/18,and it comes with a unique dipping sauce
2,Alison W.,1118,4,10/11/18,the chutney sampler came with chutneys and we enjoyed them with a truly addictive and complementary papad kinda like indian chips
2,Alison W.,1118,4,10/11/18,"i could have just had a whole meal on this, as the chips were salty and flavorful and you cannot have just one"
2,Alison W.,1118,4,10/11/18,samosas were ok nothing out of the ordinary
2,Alison W.,1118,4,10/11/18,then the rest of us got some kind of dosa
2,Alison W.,1118,4,10/11/18,i actually tried the uttapam sampler
2,Alison W.,1118,4,10/11/18,uttapam is like a thicker dosa
2,Alison W.,1118,4,10/11/18,i could not tell you all the different types of the uttapam but i enjoyed all five of them
2,Alison W.,1118,4,10/11/18,all were vegetarian though and some had cheese that i remember
